,part_of_speech,synonyms
2627,satellite,"{'high-voltage': 4.028741818836448e-07, 'high-potential': 4.1137525274225644e-08}"
2628,satellite,"{'high-pressure': 1.2637671711395403e-06, 'hard-hitting': 8.556099246425045e-08}"
2629,satellite,"{'high-priced': 3.416248246014464e-07, 'costly': 9.95878823968253e-06, 'dear': 5.527230912712856e-05, 'pricy': 3.774659488904604e-09, 'pricey': 7.105850716812928e-08}"
2630,satellite,"{'high-level': 1.1025044710277427e-06, 'high-ranking': 2.757680979059671e-07, 'upper-level': 8.603525446377372e-08}"
2631,satellite,"{'speculative': 6.178595907293379e-06, 'high-risk': 5.822124812596761e-07, 'risky': 1.4050265630807671e-06, 'bad': 7.389848142236086e-05}"
2632,satellite,"{'high-sounding': 2.498446111139741e-07, 'high-flown': 1.6521419351938435e-07, 'inflated': 2.508052064943215e-06}"
2633,satellite,"{'high-speed': 1.8374768771776716e-06, 'high-velocity': 1.1680119403493485e-07}"
2634,satellite,"{'high-stepping': 2.5077943022161895e-08, 'high-stepped': 1.4060344451134609e-09}"
2635,satellite,"{'high-top': 1.398735208202857e-08, 'high-topped': 8.66362822091555e-09}"
2636,adjective,"{'high-pitched': 3.18364198704098e-07, 'high': 0.00031698654798075935, 'higher': 0.00012283577636732897}"
2637,satellite,"{'gamy': 3.194013467035821e-08, 'mellow': 1.6933283122424852e-06, 'eminent': 2.2344969714035123e-05, 'gamey': 2.2772861403742847e-08, 'higher': 0.00012283577636732897, 'high': 0.00031698654798075935, 'in high spirits': 3.4860226758351147e-07}"
2638,satellite,"{'ranking': 3.437208059782541e-06, 'higher-ranking': 1.6736598223209544e-08, 'superior': 5.160812148808981e-05}"
2639,adjective,"{'upland': 2.4779206223316143e-06, 'highland': 7.570799163141856e-07}"
2640,satellite,"{'highly-sexed': 5.814046439176189e-10, 'oversexed': 1.5122858671463227e-08}"
2641,satellite,"{'screaming': 2.365899094862984e-06, 'uproarious': 1.8772751477341873e-07, 'hilarious': 4.176763447086679e-07}"
2642,adjective,"{'himalayan': 2.481374641580029e-09, 'Himalayan': 7.181827756022669e-07}"
2643,adjective,"{'Hindustani': 3.7278946342094054e-07, 'hindustani': 4.4124076309892623e-10}"
2644,adjective,"{'hiplength': 6.039376335929961e-10, 'hip-length': 4.566543471836897e-09}"
2645,adjective,"{'Hippocratic': 1.577307364410579e-07, 'hippocratic': 9.018524626562623e-09}"
2646,verb,"{'lease': 2.992477069373114e-05, 'employ': 2.7166755125279733e-05, 'hire': 1.0319313912689871e-05, 'hired': 1.0202131849839283e-05, 'rent': 3.8381145942402285e-05, 'engage': 1.9825067700473375e-05, 'take': 0.0003775010221573279, 'charter': 2.4164961654141966e-05}"
2647,adjective,"{'Hispanic': 2.749581505736935e-06, 'Latino': 8.565025789685602e-07, 'hispanic': 1.997191485973006e-08}"
2648,adjective,"{'hispaniolan': 2.6869285098942127e-11, 'Hispaniolan': 6.1972192923676306e-09}"
2649,adjective,"{'histologic': 5.852717371150851e-07, 'histological': 1.1732582167028113e-06}"
2650,satellite,"{'historic': 9.791768013725016e-06, 'historical': 3.937248690695744e-05}"
2651,satellite,"{'celebrated': 3.235481138743961e-05, 'storied': 5.763171621973338e-07, 'historied': 2.276589660557945e-09}"
2652,satellite,"{'histrionic': 3.0163179562901427e-07, 'melodramatic': 4.524578418342928e-07}"
2653,satellite,"{'hit-and-run': 7.587764024092348e-08, 'tip-and-run': 2.0862745974659672e-09}"
2654,satellite,"{'haphazard': 9.921325437803333e-07, 'hit-or-miss': 6.337229926352327e-08}"
2655,adjective,"{'Hitlerian': 2.3012233391226376e-08, 'hitlerian': 1.525566157021694e-10}"
2656,adjective,"{'Hittite': 4.872089067127476e-07, 'hittite': 2.2095297901439443e-09}"
2657,adjective,"{'hmong': 6.574743572493551e-10, 'Hmong': 1.613058213814333e-07}"
2658,satellite,"{'hoarse': 1.660348757608718e-06, 'husky': 6.446395796769693e-07, 'gruff': 3.6981424439339767e-07}"
2659,satellite,"{'gray-haired': 1.8662622500509757e-07, 'hoar': 6.125780381764564e-07, 'gray': 1.9775074195715675e-05, 'grey-haired': 1.3121252218488298e-07, 'white-haired': 2.1069080148867886e-07, 'hoary': 1.6703574361035384e-06, 'grizzly': 5.574205098506254e-07, 'rusty': 2.212588066435839e-06, 'gray-headed': 8.415480054762132e-08, 'canescent': 5.481920643338681e-08, 'grey-headed': 1.1734657354625181e-07, 'grey': 1.621379835347847e-05}"
2660,verb,"{'hobnailed': 3.714109054179848e-08, 'hobnail': 1.922436909850572e-08}"
2661,verb,"{'hog': 4.027385545915762e-06, 'hogged': 5.7776545073182124e-08}"
2662,satellite,"{'clandestine': 1.2611994841670795e-06, 'secret': 4.065047453929107e-05, 'surreptitious': 3.3434446897630306e-07, 'hole-and-corner': 2.1271317918003324e-08, 'hush-hush': 2.9320344236622863e-08, 'underground': 8.928811887018879e-06, 'hole-in-corner': 6.032910326251819e-10, 'hugger-mugger': 1.7225580393629713e-08, 'cloak-and-dagger': 1.4859328267011282e-08, 'undercover': 4.3210068425883644e-07}"
2663,satellite,"{'hole-and-corner': 2.1271317918003324e-08, 'hole-in-corner': 6.032910326251819e-10}"
2664,satellite,"{'porous': 4.20414432918638e-06, 'holey': 2.0032450035850608e-08}"
2665,satellite,"{'pietistic': 7.00265856726908e-08, 'self-righteous': 2.5135455645053047e-07, 'holier-than-thou': 1.6034102645541444e-08, 'pietistical': 1.967062610674727e-09, 'sanctimonious': 1.7595229500324577e-07, 'pharisaic': 3.3132379123165704e-08, 'pharisaical': 9.866563507151267e-08}"
2666,verb,"{'dig': 4.529517955603153e-06, 'hollow out': 4.4342565850266865e-08, 'excavate': 5.358629534279435e-07, 'hollow': 1.4263220585577635e-05, 'core out': 7.422562682314479e-09}"
2667,satellite,"{'empty': 2.1618888344266958e-05, 'hollow': 1.4263220585577635e-05, 'vacuous': 1.7204595369501033e-07}"
2668,satellite,"{'homy': 1.7774358175889114e-08, 'homey': 1.1439058155432906e-07, 'homelike': 1.9333212476661003e-07, 'homely': 2.4657590710707324e-06}"
2669,satellite,"{'homelike': 1.9333212476661003e-07, 'homey': 1.1439058155432906e-07, 'plain': 5.57416543230211e-05, 'homy': 1.7774358175889114e-08, 'homely': 2.4657590710707324e-06}"
2670,satellite,"{'homoiothermic': 2.7923775814419613e-09, 'homothermic': 1.809869543708605e-09, 'homeothermic': 6.396374263040496e-09}"
2671,adjective,"{'homeric': 6.092038082421885e-09, 'Homeric': 1.2316146468863244e-06}"
2672,satellite,"{'cracker-barrel': 4.625263289733254e-09, 'tweedy': 1.518586928330448e-08, 'slubbed': 1.6761834821109977e-09, 'nubby': 1.0861337217083803e-08, 'folksy': 4.9571116403330995e-08, 'nubbly': 5.220239173176557e-09, 'homespun': 3.547805105264796e-07}"
2673,satellite,"{'homeward': 2.100761068098752e-06, 'homeward-bound': 1.0283291153073809e-07}"
2674,adverb,"{'homeward': 2.100761068098752e-06, 'homewards': 5.866595276815738e-07}"
2675,satellite,"{'homicidal': 2.4608631242237924e-07, 'murderous': 1.797550594038007e-06}"
2676,adjective,"{'homiletic': 7.424768480535563e-08, 'homiletical': 4.669692469835636e-08}"
2677,satellite,"{'isocyclic': 4.111284008962817e-09, 'homocyclic': 3.872834424615025e-09}"
2678,adjective,"{'homogeneous': 6.009450750831128e-06, 'homogenous': 3.8568992288050424e-07}"
2679,verb,"{'homogenised': 2.6249780209541e-08, 'homogenise': 5.037438103888249e-09, 'homogenize': 3.89887566072444e-08}"
2680,satellite,"{'homogenized': 3.104818444141126e-07, 'homogenised': 2.6249780209541e-08}"
2681,verb,"{'homogenized': 3.104818444141126e-07, 'homogenise': 5.037438103888249e-09, 'homogenize': 3.89887566072444e-08}"
2682,satellite,"{'homological': 3.642233355130022e-08, 'homologic': 1.6490045047333191e-09}"
2683,adjective,"{'homonymic': 5.520848169212672e-09, 'homonymous': 9.992363132836966e-08}"
2684,satellite,"{'gay': 1.2567677831926928e-05, 'queer': 3.1599558579504003e-06, 'homophile': 1.1908116488772863e-08}"
2685,adjective,"{'homostylic': 1.4425093070710617e-10, 'homostylous': 9.577479952208001e-10, 'homostyled': 8.014694188002948e-10}"
2686,adjective,"{'Honduran': 2.0393211823355854e-07, 'honduran': 2.4839542819506916e-10}"
2687,adjective,"{'honorable': 1.4202844381090615e-05, 'honest': 2.8332961823571766e-05}"
2688,satellite,"{'old': 0.00032116972443444115, 'honest-to-god': 1.7312553895782384e-09, 'sure-enough': 9.424520225813902e-09, 'honest-to-goodness': 3.405871860841615e-08}"
2689,satellite,"{'honey-colored': 1.9792851032103577e-08, 'honey-coloured': 1.520759974849931e-08}"
2690,verb,"{'honeycomb': 5.180479265314892e-07, 'honeycombed': 2.1044848694560648e-07}"
2691,verb,"{'honey': 1.1157855686107801e-05, 'honeyed': 2.0980737041696733e-07}"
2692,satellite,"{'dulcet': 2.1478223517999427e-07, 'honied': 1.2702329806732518e-07, 'sweet': 3.8497060237811336e-05, 'mellisonant': 3.044628192565195e-10, 'honeyed': 2.0980737041696733e-07, 'syrupy': 1.9680587345963146e-07, 'mellifluous': 1.6555038901556932e-07}"
2693,verb,"{'honey': 1.1157855686107801e-05, 'honied': 1.2702329806732518e-07}"
2694,satellite,"{'syrupy': 1.9680587345963146e-07, 'honied': 1.2702329806732518e-07, 'honeyed': 2.0980737041696733e-07}"
2695,adjective,"{'honourable': 1.9540114112919186e-05, 'honorable': 1.4202844381090615e-05, 'honest': 2.8332961823571766e-05}"
2696,adjective,"{'hooved': 9.245483106326188e-09, 'ungulate': 5.563527453127748e-08, 'ungulated': 1.8135241861414794e-09, 'hoofed': 1.2642267849225898e-07}"
2697,satellite,"{'raging': 3.2392638318861572e-06, 'blistering': 5.496981946615869e-07, 'hot': 5.0440845309180446e-05, 'red-hot': 1.097567153218516e-06, 'spicy': 6.890849609413885e-07, 'live': 9.747609475076205e-05}"
2698,satellite,"{'choleric': 3.1887688018345084e-07, 'madcap': 1.0148770523498398e-07, 'impulsive': 1.30924605917286e-06, 'short-tempered': 2.624725799334426e-08, 'hotheaded': 5.1081557938304e-08, 'quick-tempered': 3.987424510960926e-08, 'tearaway': 4.093156529508137e-09, 'irascible': 3.636301498774653e-07, 'impetuous': 2.2002036447932597e-06, 'hot-tempered': 5.605307169907031e-08, 'brainish': 2.937404991465443e-09}"
2699,verb,"{'house-trained': 3.4176954849523643e-09, 'house-train': 5.962150298968005e-10, 'housebreak': 3.142466770680478e-09}"
2700,satellite,"{'housebroken': 9.513248464889308e-09, 'house-trained': 3.4176954849523643e-09}"
2701,satellite,"{'human-centred': 6.627989658489268e-09, 'human-centered': 1.3028417849992227e-08, 'humanist': 6.363639820304525e-07, 'humanistic': 7.399853445200392e-07, 'humanitarian': 2.2109188623674186e-06}"
2702,adjective,"{'humanistic': 7.399853445200392e-07, 'humanist': 6.363639820304525e-07, 'humane': 4.895591268260547e-06}"
2703,verb,"{'humble': 2.2904423314746127e-05, 'abase': 1.8597454990155868e-07, 'mortify': 5.524714798613412e-07, 'chagrin': 1.0120180072838833e-06, 'humiliate': 2.9962345019739097e-07}"
2704,satellite,"{'small': 0.00033686187932474663, 'modest': 1.0974855565928395e-05, 'baseborn': 1.3904050754225636e-08, 'humble': 2.2904423314746127e-05, 'lowly': 2.7525633966084893e-06, 'base': 8.247404317578171e-05, 'menial': 1.060362989895631e-06, 'low': 0.00014273815455122861}"
2705,verb,"{'abase': 1.8597454990155868e-07, 'humble': 2.2904423314746127e-05, 'mortify': 5.524714798613412e-07, 'chagrin': 1.0120180072838833e-06, 'humbled': 2.1363569641448246e-06, 'humiliate': 2.9962345019739097e-07}"
2706,adjective,"{'Magyar': 5.701171352318187e-07, 'Hungarian': 5.728427439818525e-06, 'hungarian': 9.22859717390834e-09}"
2707,verb,"{'hunted': 2.9529884946223074e-06, 'hunt': 6.238294520598732e-06, 'hound': 1.8434724571475321e-06, 'trace': 2.2753736503620766e-05, 'run': 8.978642029972498e-05, 'hunt down': 1.1366769281023587e-07, 'track down': 1.945087415386736e-07}"
2708,verb,"{'travel rapidly': 9.928240151774442e-09, 'hurry': 7.455351591561422e-06, 'hurried': 8.665397565875175e-06, 'speed': 4.9609800134399484e-05, 'zip': 4.4379358164937447e-07, 'look sharp': 8.113742817353636e-08, 'festinate': 3.4749853528591332e-09, 'rush': 9.831000964637e-06, 'hasten': 4.937313243205263e-06}"
2709,verb,"{'travel rapidly': 9.928240151774442e-09, 'hurry': 7.455351591561422e-06, 'speed': 4.9609800134399484e-05, 'zip': 4.4379358164937447e-07, 'look sharp': 8.113742817353636e-08, 'festinate': 3.4749853528591332e-09, 'rush': 9.831000964637e-06, 'hasten': 4.937313243205263e-06, 'hurrying': 2.1579961368992833e-06}"
2710,satellite,"{'scurrying': 2.3185897341962533e-07, 'hurrying': 2.1579961368992833e-06}"
2711,adjective,"{'hydrous': 3.2230173406411966e-07, 'hydrated': 1.3618353050103288e-06}"
2712,adjective,"{'hydrographical': 1.2819969026488092e-07, 'hydrographic': 5.356653319276346e-07}"
2713,satellite,"{'hygienic': 1.2914832836244073e-06, 'hygienical': 2.937995133393974e-09}"
2714,satellite,"{'hypaethral': 1.5539263985468365e-08, 'hypethral': 1.3833217408843579e-09}"
2715,satellite,"{'overactive': 8.46927253161008e-08, 'hyperactive': 1.9609211775702763e-07}"
2716,satellite,"{'hyperbolic': 7.440083169993037e-07, 'inflated': 2.508052064943215e-06}"
2717,satellite,"{'overcritical': 9.227536714691505e-09, 'hypercritical': 1.4000088891741326e-07}"
2718,satellite,"{'hyperopic': 3.592783646940464e-08, 'hypermetropic': 5.731590753377956e-08}"
2719,verb,"{'hypertrophied': 4.6926663285436966e-07, 'hypertrophy': 1.7048063299643186e-06}"
2720,satellite,"{'hypnogogic': 3.850848596875116e-09, 'somnific': 2.1800348002597685e-09, 'hypnagogic': 2.124190439661809e-08, 'somniferous': 2.559748772865361e-08, 'soporiferous': 1.3948215775204615e-08, 'soporific': 1.774315793114154e-07}"
2721,satellite,"{'mesmerizing': 6.500713339305806e-08, 'hypnotic': 8.442497685629547e-07, 'mesmeric': 2.023529616262257e-07, 'spellbinding': 3.1762682934662644e-08}"
2722,verb,"{'mesmerize': 1.9520665964288187e-08, 'hypnotise': 1.2209274513600085e-08, 'hypnotize': 5.2964275170548207e-08, 'mesmerise': 1.3069495583300943e-08, 'hypnotised': 6.496735054014901e-08}"
2723,verb,"{'mesmerize': 1.9520665964288187e-08, 'hypnotise': 1.2209274513600085e-08, 'hypnotize': 5.2964275170548207e-08, 'hypnotized': 2.433588431244424e-07, 'mesmerise': 1.3069495583300943e-08}"
2724,satellite,"{'underactive': 1.2859650033025644e-08, 'hypoactive': 1.532557290213802e-08}"
2725,satellite,"{'hypochondriac': 2.553838376887338e-07, 'hypochondriacal': 1.7014599875851876e-07}"
2726,adjective,"{'hypodermic': 6.647825223017195e-07, 'subcutaneous': 1.8954895136138114e-06}"
2727,adjective,"{'hypoglycaemic': 2.9533031054489117e-08, 'hypoglycemic': 1.3210188572110517e-07}"
2728,adjective,"{'prognathous': 4.242389119302096e-08, 'prognathic': 1.1358755699098564e-08, 'hypognathous': 3.3261863843042e-09}"
2729,adjective,"{'hypophysial': 4.3022589519833906e-08, 'hypophyseal': 9.023873224360923e-08}"
2730,verb,"{'hypophysectomised': 9.590511353999281e-09, 'hypophysectomize': 2.0710957025936516e-10, 'hypophysectomise': 1.1961961435427207e-10}"
2731,adjective,"{'hypophysectomised': 9.590511353999281e-09, 'hypophysectomized': 1.3833565993357622e-07}"
2732,verb,"{'hypophysectomize': 2.0710957025936516e-10, 'hypophysectomise': 1.1961961435427207e-10, 'hypophysectomized': 1.3833565993357622e-07}"
2733,adjective,"{'hypovolaemic': 5.8301405614874915e-09, 'hypovolemic': 3.7008241489496016e-08}"
2734,satellite,"{'hysteric': 2.5141543905323193e-07, 'hysterical': 1.7269984206628356e-06}"
2735,adjective,"{'Iberian': 5.423376024376644e-07, 'iberian': 2.358116047342414e-09}"
2736,adjective,"{'Icelandic': 1.1300456021356701e-06, 'icelandic': 1.8949929606601834e-09}"
2737,adjective,"{'ichorous': 7.112745323080504e-08, 'sanious': 7.865263783900567e-08}"
2738,satellite,"{'rotten': 3.5449220453802686e-06, 'lousy': 4.4077990988357505e-07, 'stinking': 6.940160426340091e-07, 'stinky': 3.4086924383832254e-08, 'shitty': 7.08045961029803e-08, 'crappy': 4.6166761078879347e-08, 'icky': 1.6423700943200207e-08, 'gooey': 5.3328136627093864e-08}"
2739,adjective,"{'ictal': 3.540239706837191e-08, 'ictic': 2.389859422260578e-09}"
2740,satellite,"{'yellow': 4.466708330409193e-05, 'icteric': 6.011006818876722e-08, 'jaundiced': 3.0240589958947534e-07}"
2741,verb,"{'idealize': 1.2544250000763815e-07, 'idealised': 1.737084261264388e-07, 'idealise': 2.982575122052292e-08}"
2742,satellite,"{'idealised': 1.737084261264388e-07, 'idealized': 9.571146680849182e-07}"
2743,verb,"{'idealize': 1.2544250000763815e-07, 'idealized': 9.571146680849182e-07, 'idealise': 2.982575122052292e-08}"
2744,satellite,"{'identical': 2.161271540111247e-05, 'selfsame': 3.2246575158833796e-07, 'indistinguishable': 1.302430538216175e-06, 'very': 0.0009004392031333528, 'superposable': 1.1610017994503238e-08}"
2745,adjective,"{'identical': 2.161271540111247e-05, 'monovular': 2.2156572989341118e-09}"
2746,verb,"{'key': 3.588295976002186e-05, 'identify': 1.6830735439656165e-05, 'distinguish': 1.8629825251527285e-05, 'identified': 2.6764884789787836e-05, 'place': 0.00045174336495360255, 'discover': 2.566013206502025e-05, 'key out': 3.541941055230979e-08, 'name': 0.0002800903002883257, 'describe': 2.8433246698940902e-05}"
2747,satellite,"{'ideological': 3.863264852829759e-06, 'ideologic': 1.1568983255898337e-08}"
2748,adjective,"{'idiomatic': 4.959636840674182e-07, 'idiomatical': 3.097387795990792e-08}"
2749,verb,"{'idolise': 1.3892917709890719e-08, 'idolized': 3.1666662178336626e-07, 'idolize': 9.297268487183164e-08, 'hero-worship': 1.0436446659577448e-07, 'worship': 3.372514494867769e-05, 'revere': 8.598989569771405e-07}"
2750,adjective,"{'pyrogenous': 1.2547138343410992e-08, 'igneous': 2.2806672068215337e-06, 'eruptive': 7.271103459068819e-07, 'pyrogenic': 4.573088305242889e-08}"
2751,satellite,"{'igneous': 2.2806672068215337e-06, 'fiery': 5.649071092072408e-06}"
2752,verb,"{'catch fire': 1.1791433337078398e-07, 'conflagrate': 2.3866075644491723e-09, 'ignited': 1.9350530003993744e-06, 'wake': 7.633323296444421e-06, 'erupt': 2.4919525303914e-07, 'inflame': 1.2817643253049706e-06, 'light': 0.0002154912339910603, 'fire up': 7.336982960207138e-08, 'heat': 8.378817840785848e-05, 'take fire': 2.7593902403183566e-07, 'stir up': 1.2729663906933297e-06, 'combust': 4.511522608166191e-08, 'ignite': 7.256860212389367e-07}"
2753,satellite,"{'ungentle': 1.3346303443889732e-07, 'ignoble': 1.2470634825797468e-06, 'untitled': 1.8815711247678915e-07}"
2754,satellite,"{'shortsighted': 3.5942828044513624e-07, 'ill-considered': 1.8955150951743085e-07, 'improvident': 8.160677632805962e-07, 'ill-judged': 2.707741132934304e-07}"
2755,adjective,"{'unclear': 1.921173376069913e-06, 'ill-defined': 5.267689327063298e-07}"
2756,satellite,"{'infamous': 4.194642352677828e-06, 'ill-famed': 1.7797527951208265e-08, 'notorious': 6.393340517363026e-06}"
2757,satellite,"{'ill-omened': 1.559644501090005e-07, 'unlucky': 2.345299992779457e-06, 'doomed': 4.48273492901086e-06, 'ill-starred': 1.7717601890202482e-07, 'ill-fated': 8.542447492109443e-07}"
2758,satellite,"{'ill-favoured': 1.1089812884398042e-07, 'ill-favored': 4.077412992122581e-08}"
2759,satellite,"{'underfed': 1.2576816965667145e-07, 'undernourished': 2.0405865957900072e-07, 'ill-fed': 8.316360449109509e-08}"
2760,adjective,"{'ungrammatical': 2.443210528108968e-07, 'ill-formed': 8.057942061995257e-08}"
2761,satellite,"{'ill-gotten': 2.211324734265418e-07, 'dirty': 8.80423159406702e-06}"
2762,adjective,"{'ill-smelling': 4.297347154994169e-08, 'stinky': 3.4086924383832254e-08, 'malodorous': 9.283457439956672e-08, 'unpleasant-smelling': 1.3989589819366473e-09, 'malodourous': 4.0847590468082494e-10}"
2763,verb,"{'maltreat': 8.599312311377044e-08, 'abuse': 1.9848800646609548e-05, 'step': 6.030143890321986e-05, 'mistreat': 4.690198681817108e-08, 'ill-treat': 6.697970036053839e-08, 'ill-used': 2.557105730939108e-07, 'ill-use': 2.187179733327124e-08}"
2764,satellite,"{'uneasy': 4.739205893621181e-06, 'awkward': 4.905213896072343e-06, 'ill at ease': 3.7389285951522697e-07}"
2765,adjective,"{'inferential': 3.6807561669681825e-07, 'illative': 3.519621854223168e-08}"
2766,satellite,"{'outlawed': 9.888704769349073e-07, 'illicit': 2.2119372298334874e-06, 'illegitimate': 2.7029987212393657e-06, 'unlawful': 1.117025463839607e-05, 'outlaw': 1.1068115976244138e-06}"
2767,satellite,"{'illiberal': 8.840343099268999e-07, 'intolerant': 1.2471650231341833e-06}"
2768,satellite,"{'measureless': 2.1119560474126868e-07, 'limitless': 7.729870480624032e-07, 'illimitable': 4.380678671727265e-07}"
2769,satellite,"{'illiterate': 2.4203227157344863e-06, 'ignorant': 2.1359765544172057e-05}"
2770,adjective,"{'illogical': 9.947642356857127e-07, 'unlogical': 2.706026768564386e-09}"
2771,satellite,"{'illusionary': 3.779079471701877e-08, 'illusional': 4.172213876583569e-09}"
2772,satellite,"{'illusive': 3.001975582572226e-07, 'illusory': 1.1331334065259146e-06}"
2773,satellite,"{'exemplifying': 3.365523875474699e-07, 'illustrative': 4.4297570190627266e-06, 'demonstrative': 1.2907409059824784e-06}"
2774,satellite,"{'imaginative': 3.861830537140574e-06, 'inventive': 1.5674869496337753e-06}"
2775,adjective,"{'unbalanced': 1.0709683448134876e-06, 'imbalanced': 7.052541067065428e-08}"
2776,satellite,"{'idiotic': 5.990709042603293e-07, 'imbecile': 7.900038641748953e-07, 'imbecilic': 1.2972014366055227e-08}"
2777,satellite,"{'imbricated': 5.221561714092833e-07, 'imbricate': 3.20281302378998e-07}"
2778,adjective,"{'imitative': 1.0150732306809873e-06, 'onomatopoetic': 2.711597276476111e-08, 'onomatopoeical': 7.211416338600672e-11, 'counterfeit': 2.439829388579225e-06, 'echoic': 1.8627982859656108e-08, 'onomatopoeic': 3.2780616708841445e-08}"
2779,adjective,"{'unfledged': 1.1080413730017795e-07, 'young': 0.00018755112675043048, 'immature': 2.8115076455837287e-06, 'unripened': 3.998356989204438e-08, 'green': 6.169331375944732e-05, 'unripe': 5.435183001238548e-07}"
2780,adjective,"{'unmeasured': 4.541528103988189e-07, 'immensurable': 3.205804894169582e-09, 'immeasurable': 1.060500192433716e-06, 'unmeasurable': 1.0855689607711335e-07}"
2781,satellite,"{'immeasurable': 1.060500192433716e-06, 'inestimable': 2.397056899687585e-06, 'incomputable': 9.728096721698558e-09}"
2782,satellite,"{'prompt': 1.1074717467833086e-05, 'contiguous': 5.2282926873326915e-06, 'straightaway': 1.6071428265409087e-07, 'immediate': 5.668542694385582e-05, 'quick': 2.4447677324349665e-05}"
2783,adjective,"{'unmixable': 2.10156199087762e-09, 'immiscible': 1.6496082535925705e-07, 'non-miscible': 5.2731638107145974e-09}"
2784,satellite,"{'immobile': 4.92851237800429e-07, 'firm': 5.819235660036022e-05, 'fast': 4.083466348529173e-05}"
2785,satellite,"{'immoral': 3.0154144774959457e-06, 'base': 8.247404317578171e-05}"
2786,satellite,"{'immotile': 1.342296780207809e-08, 'nonmotile': 3.9194192812978876e-08}"
2787,verb,"{'immunise': 1.0336530698714814e-08, 'inoculate': 2.8350530025745966e-07, 'immunized': 5.834838129686616e-07, 'vaccinate': 1.6833335171320341e-07, 'immunize': 1.2969761397565728e-07}"
2788,adjective,"{'immunological': 5.412859158432774e-07, 'immunologic': 3.0488046975829954e-07}"
2789,verb,"{'bear upon': 1.9099296620825594e-06, 'touch': 3.2872117680852726e-05, 'bear on': 1.8662080100223063e-06, 'touch on': 6.865478035545786e-07, 'affect': 3.620694037758039e-05, 'impacted': 1.1062204712336133e-06, 'impact': 2.8175009531755377e-05}"
2790,satellite,"{'impacted': 1.1062204712336133e-06, 'wedged': 7.424566990121552e-07}"
2791,verb,"{'vitiate': 7.924526471877585e-07, 'mar': 3.3870221626035703e-06, 'deflower': 2.0603458867982566e-08, 'impair': 3.4466599629123453e-06, 'impaired': 7.161417453954091e-06, 'spoil': 5.262549991218166e-06}"
2792,satellite,"{'afflicted': 6.777478222665435e-06, 'impaired': 7.161417453954091e-06}"
2793,adjective,"{'intangible': 1.8833809328406951e-06, 'impalpable': 4.7294857658349647e-07}"
2794,satellite,"{'imparipinnate': 1.3506582583155912e-08, 'odd-pinnate': 1.0503418131007665e-08}"
2795,adjective,"{'impartial': 7.0276622945512815e-06, 'unprejudiced': 1.0717859298406037e-06}"
2796,satellite,"{'sinless': 4.6765339379866483e-07, 'innocent': 1.7943694283078156e-05, 'impeccant': 5.246970341833517e-10}"
2797,verb,"{'impeded': 2.4113057152278017e-06, 'occlude': 1.014203517702233e-07, 'jam': 2.2203997317401776e-06, 'obstruct': 2.928561060925503e-06, 'impede': 2.5383852015372397e-06, 'block': 2.7531154306338514e-05, 'close up': 1.0477021424031835e-06, 'obturate': 1.8733134657539537e-09, 'hinder': 6.505223658049524e-06}"
2798,verb,"{'impeding': 6.443036632472128e-07, 'occlude': 1.014203517702233e-07, 'jam': 2.2203997317401776e-06, 'obstruct': 2.928561060925503e-06, 'impede': 2.5383852015372397e-06, 'block': 2.7531154306338514e-05, 'close up': 1.0477021424031835e-06, 'obturate': 1.8733134657539537e-09, 'hinder': 6.505223658049524e-06}"
2799,verb,"{'force': 0.00017089460555589576, 'impel': 6.760240541904171e-07, 'propel': 7.033893034696371e-07, 'impelled': 2.903907034559684e-06}"
2800,satellite,"{'impelled': 2.903907034559684e-06, 'driven': 3.555955718995188e-05}"
2801,satellite,"{'imperturbable': 3.3159374743037485e-07, 'unflappable': 2.5972088735704817e-08}"
2802,adjective,"{'impervious': 1.777898376003745e-06, 'imperviable': 2.0433134527734517e-09}"
2803,satellite,"{'undutiful': 2.3326699570411986e-07, 'impious': 2.559822274930189e-06}"
2804,satellite,"{'mischievous': 4.2710862397648456e-06, 'pixilated': 5.012813244634579e-09, 'wicked': 1.6673842232109502e-05, 'implike': 6.3492717592558e-10, 'arch': 1.3792475576015044e-05, 'prankish': 1.4316949461220835e-08, 'puckish': 1.6380772792338124e-08, 'impish': 1.0220071542839892e-07}"
2805,verb,"{'implant': 9.469308254435009e-07, 'imbed': 4.6774638922906947e-08, 'plant': 0.00010529082310073078, 'embed': 1.8710624802802759e-07, 'implanted': 2.0303032615496614e-06, 'engraft': 1.608179487321479e-07}"
2806,satellite,"{'implemental': 6.659902380476868e-09, 'instrumental': 6.585803447390026e-06, 'subservient': 2.6987898306248258e-06}"
2807,satellite,"{'implicit in': 9.753611820964004e-07, 'underlying': 1.314179775520162e-05, 'inherent': 1.1096112494990675e-05}"
2808,verb,"{'imploring': 1.1086565577205296e-06, 'beg': 2.0382753423094565e-05, 'pray': 2.532584808449081e-05, 'implore': 1.8346885515215047e-06}"
2809,adjective,"{'significant': 5.291591537443174e-05, 'of import': 9.111441243343293e-07, 'crucial': 7.443119209857766e-06, 'important': 0.0002269808187255959}"
2810,satellite,"{'important': 0.0002269808187255959, 'authoritative': 4.2755798307448715e-06}"
2811,verb,"{'import': 1.9046127901981585e-05, 'spell': 6.787790566109143e-06, 'imported': 2.371810236317173e-05}"
