,text,dict_val,enumerator
2400,assassinate,676,2400
2401,assassinated,676,2401
2402,attacking,677,2402
2403,assaultive,677,2403
2404,swear,678,2404
2405,swan,678,2405
2406,avow,678,2406
2407,asserted,678,2407
2408,maintain,678,2408
2409,affirm,678,2409
2410,assert,678,2410
2411,asseverate,678,2411
2412,aver,678,2412
2413,insist,678,2413
2414,put forward,678,2414
2415,verify,678,2415
2416,assistant,679,2416
2417,adjunct,679,2417
2418,serve,680,2418
2419,help,680,2419
2420,assist,680,2420
2421,attend,680,2421
2422,assisted,680,2422
2423,aid,680,2423
2424,wait on,680,2424
2425,attend to,680,2425
2426,consort,681,2426
2427,associate,681,2427
2428,link up,681,2428
2429,link,681,2429
2430,colligate,681,2430
2431,tie in,681,2431
2432,connect,681,2432
2433,affiliate,681,2433
2434,consociate,681,2434
2435,relate,681,2435
2436,assort,681,2436
2437,associative,682,2437
2438,associatory,682,2438
2439,asteroid,683,2439
2440,star-shaped,683,2440
2441,wheezy,684,2441
2442,asthmatic,684,2442
2443,wheezing,684,2443
2444,astir,685,2444
2445,up,685,2445
2446,about,685,2446
2447,astomatous,686,2447
2448,mouthless,686,2448
2449,amaze,687,2449
2450,astonished,687,2450
2451,astonish,687,2451
2452,astound,687,2452
2453,astonishing,688,2453
2454,amaze,688,2454
2455,astonish,688,2455
2456,astound,688,2456
2457,staggering,689,2457
2458,astonishing,689,2458
2459,astounding,689,2459
2460,stupefying,689,2460
2461,amazing,689,2461
2462,amaze,690,2462
2463,astounded,690,2463
2464,astonish,690,2464
2465,astound,690,2465
2466,astronautic,691,2466
2467,astronautical,691,2467
2468,astronomical,692,2468
2469,astronomic,692,2469
2470,astronomical,693,2470
2471,astronomic,693,2471
2472,galactic,693,2472
2473,sharp,694,2473
2474,shrewd,694,2474
2475,astute,694,2475
2476,asunder,695,2476
2477,apart,695,2477
2478,asymmetric,696,2478
2479,asymmetrical,696,2479
2480,crooked,697,2480
2481,asymmetrical,697,2481
2482,symptomless,698,2482
2483,asymptomatic,698,2483
2484,at a loss,699,2484
2485,nonplussed,699,2485
2486,puzzled,699,2486
2487,nonplused,699,2487
2488,trapped,700,2488
2489,at bay,700,2489
2490,cornered,700,2490
2491,treed,700,2491
2492,in a broad way,701,2492
2493,at large,701,2493
2494,at odds,702,2494
2495,contradictory,702,2495
2496,self-contradictory,702,2496
2497,conflicting,702,2497
2498,deceased,703,2498
2499,gone,703,2499
2500,asleep,703,2500
2501,at rest,703,2501
2502,at peace,703,2502
2503,departed,703,2503
2504,at sea,704,2504
2505,baffled,704,2505
2506,confused,704,2506
2507,mixed-up,704,2507
2508,confounded,704,2508
2509,bemused,704,2509
2510,bewildered,704,2510
2511,lost,704,2511
2512,mazed,704,2512
2513,befuddled,704,2513
2514,at variance,705,2514
2515,discrepant,705,2515
2516,dissonant,705,2516
2517,ataxic,706,2517
2518,atactic,706,2518
2519,atmospheric,707,2519
2520,atmospherical,707,2520
2521,nuclear,708,2521
2522,atomic,708,2522
2523,atomistic,709,2523
2524,atomistical,709,2524
2525,atonal,710,2525
2526,unkeyed,710,2526
2527,unaccented,711,2527
2528,atonic,711,2528
2529,atoxic,712,2529
2530,nontoxic,712,2530
2531,atrabilious,713,2531
2532,dyspeptic,713,2532
2533,liverish,713,2533
2534,bilious,713,2534
2535,atrioventricular,714,2535
2536,auriculoventricular,714,2536
2537,aweigh,715,2537
2538,atrip,715,2538
2539,attached,716,2539
2540,bond,716,2540
2541,tie,716,2541
2542,bind,716,2542
2543,impound,716,2543
2544,confiscate,716,2544
2545,attach,716,2545
2546,seize,716,2546
2547,sequester,716,2547
2548,committed,717,2548
2549,attached,717,2549
2550,assault,718,2550
2551,lash out,718,2551
2552,assail,718,2552
2553,attack,718,2553
2554,set on,718,2554
2555,snipe,718,2555
2556,attacking,718,2556
2557,round,718,2557
2558,aggress,718,2558
2559,come-at-able,719,2559
2560,attainable,719,2560
2561,Attic,720,2561
2562,attic,720,2562
2563,tog out,721,2563
2564,deck up,721,2564
2565,rig out,721,2565
2566,fig out,721,2566
2567,trick up,721,2567
2568,get up,721,2568
2569,attire,721,2569
2570,trick out,721,2570
2571,attired,721,2571
2572,tog up,721,2572
2573,fig up,721,2573
2574,gussy up,721,2574
2575,prink,721,2575
2576,dress up,721,2576
2577,fancy up,721,2577
2578,deck out,721,2578
2579,overdress,721,2579
2580,attributive,722,2580
2581,prenominal,722,2581
2582,atypical,723,2582
2583,untypical,723,2583
2584,atypical,724,2584
2585,irregular,724,2585
2586,naked,725,2586
2587,bare,725,2587
2588,au naturel,725,2588
2589,nude,725,2589
2590,Augustan,726,2590
2591,augustan,726,2591
2592,gilt,727,2592
2593,gold,727,2593
2594,gilded,727,2594
2595,florid,727,2595
2596,aureate,727,2596
2597,golden,727,2597
2598,flamboyant,727,2598
2599,auric,728,2599
2600,aurous,728,2600
2601,auricular,729,2601
2602,otic,729,2602
2603,auriculate,730,2603
2604,auriculated,730,2604
2605,gold-bearing,731,2605
2606,auriferous,731,2606
2607,ear-like,732,2607
2608,ear-shaped,732,2608
2609,auriform,732,2609
2610,auroral,733,2610
2611,aurorean,733,2611
2612,spartan,734,2612
2613,stern,734,2613
2614,severe,734,2614
2615,ascetical,734,2615
2616,stark,734,2616
2617,ascetic,734,2617
2618,austere,734,2618
2619,austronesian,735,2619
2620,Austronesian,735,2620
2621,autarkical,736,2621
2622,autarchic,736,2622
2623,autarchical,736,2623
2624,autarkical,737,2624
2625,autarkic,737,2625
2626,authentic,738,2626
2627,veritable,738,2627
2628,reliable,738,2628
2629,unquestionable,738,2629
2630,bona fide,738,2630
2631,authenticate,739,2631
2632,authenticated,739,2632
2633,clear,740,2633
2634,authorised,740,2634
2635,pass,740,2635
2636,authorize,740,2636
2637,empower,740,2637
2638,authorise,740,2638
2639,authorized,741,2639
2640,authorised,741,2640
2641,authorised,742,2641
2642,authorized,742,2642
2643,authoritative,742,2643
2644,endemic,743,2644
2645,autochthonal,743,2645
2646,autochthonous,743,2646
2647,autochthonic,743,2647
2648,indigenous,743,2648
2649,tyrannical,744,2649
2650,peremptory,744,2650
2651,autocratic,744,2651
2652,dominating,744,2652
2653,authoritarian,744,2653
2654,magisterial,744,2654
2655,tyrannic,744,2655
2656,dictatorial,744,2656
2657,high-and-mighty,744,2657
2658,despotic,744,2658
2659,bossy,744,2659
2660,homoecious,745,2660
2661,autoecious,745,2661
2662,autogamous,746,2662
2663,autogamic,746,2663
2664,autogenous,747,2664
2665,autogenic,747,2665
2666,autograph,748,2666
2667,autographed,748,2667
2668,inscribe,748,2668
2669,semiautomatic,749,2669
2670,self-loading,749,2670
2671,autoloading,749,2671
2672,self-directed,750,2672
2673,independent,750,2673
2674,self-reliant,750,2674
2675,autonomous,750,2675
2676,sovereign,750,2676
2677,self-governing,750,2677
2678,autophytic,751,2678
2679,autotrophic,751,2679
2680,fall-blooming,752,2680
2681,autumn-flowering,752,2681
2682,late-flowering,752,2682
2683,fall-flowering,752,2683
2684,late-blooming,752,2684
2685,autumn-blooming,752,2685
2686,auxiliary,753,2686
2687,appurtenant,753,2687
2688,supplemental,753,2688
2689,subsidiary,753,2689
2690,supplementary,753,2690
2691,accessory,753,2691
2692,ancillary,753,2692
2693,adjunct,753,2693
2694,adjuvant,753,2694
2695,usable,754,2695
2696,useable,754,2696
2697,uncommitted,754,2697
2698,available,754,2698
2699,avant-garde,755,2699
2700,daring,755,2700
2701,avoidable,756,2701
2702,avertible,756,2702
2703,avertable,756,2703
2704,evitable,756,2704
2705,avestan,757,2705
2706,Avestan,757,2706
2707,avid,758,2707
2708,zealous,758,2708
2709,devouring,758,2709
2710,esurient,758,2710
2711,greedy,758,2711
2712,avifaunal,759,2712
2713,avifaunistic,759,2713
2714,avowed,760,2714
2715,swear,760,2715
2716,swan,760,2716
2717,avow,760,2717
2718,affirm,760,2718
2719,assert,760,2719
2720,aver,760,2720
2721,verify,760,2721
2722,avouch,760,2722
2723,avowed,761,2723
2724,professed,761,2724
2725,expect,762,2725
2726,await,762,2726
2727,awaited,762,2727
2728,wait,762,2728
2729,look,762,2729
2730,outside,763,2730
2731,away,763,2731
2732,off,764,2732
2733,away,764,2733
2734,out,764,2734
2735,forth,764,2735
2736,by,764,2736
2737,aside,764,2737
2738,awing,765,2738
2739,awful,765,2739
2740,amazing,765,2740
2741,awe-inspiring,765,2741
2742,awesome,765,2742
2743,weary,766,2743
2744,aweary,766,2744
2745,awe,767,2745
2746,awed,767,2746
2747,awed,768,2747
2748,awful,768,2748
2749,awed,769,2749
2750,awestruck,769,2750
2751,awestricken,769,2751
2752,disrespectful,770,2752
2753,aweless,770,2753
2754,awless,770,2754
2755,uneasy,771,2755
2756,ill-chosen,771,2756
2757,unenviable,771,2757
2758,awkward,771,2758
2759,ungainly,771,2759
2760,inept,771,2760
2761,bunglesome,771,2761
2762,cumbersome,771,2762
2763,embarrassing,771,2763
2764,clumsy,771,2764
2765,inapt,771,2765
2766,sticky,771,2766
2767,ill at ease,771,2767
2768,awny,772,2768
2769,awned,772,2769
2770,awol,773,2770
2771,truant,773,2771
2772,cockeyed,774,2772
2773,haywire,774,2773
2774,wonky,774,2774
2775,lopsided,774,2775
2776,amiss,774,2776
2777,wrong,774,2777
2778,skew-whiff,774,2778
2779,awry,774,2779
2780,askew,774,2780
2781,awry,775,2781
2782,skew-whiff,775,2782
2783,askew,775,2783
2784,amiss,775,2784
2785,berrylike,776,2785
2786,baccate,776,2786
2787,bacciferous,777,2787
2788,berried,777,2788
2789,baccate,777,2789
2790,carousing,778,2790
2791,orgiastic,778,2791
2792,bacchanalian,778,2792
2793,bacchic,778,2793
2794,bacchanal,778,2794
2795,bacillar,779,2795
2796,bacillary,779,2796
2797,bacilliform,780,2797
2798,bacillary,780,2798
2799,baculiform,780,2799
2800,bacillar,780,2800
2801,rod-shaped,780,2801
2802,endorse,781,2802
2803,bet on,781,2803
2804,back,781,2804
2805,plump for,781,2805
2806,punt,781,2806
2807,back up,781,2807
2808,indorse,781,2808
2809,stake,781,2809
2810,game,781,2810
2811,plunk for,781,2811
2812,support,781,2812
2813,second,781,2813
2814,gage,781,2814
2815,offstage,782,2815
2816,backstage,782,2816
2817,backstair,783,2817
2818,furtive,783,2818
2819,backstairs,783,2819
2820,backswept,784,2820
2821,sweptback,784,2821
2822,feebleminded,785,2822
2823,half-witted,785,2823
2824,slow-witted,785,2824
2825,backward,785,2825
2826,bactericidal,786,2826
2827,disinfectant,786,2827
2828,germicidal,786,2828
2829,bacterioid,787,2829
2830,bacteroid,787,2830
2831,bacterioidal,787,2831
2832,bacteroidal,787,2832
2833,bacteriological,788,2833
2834,bacteriologic,788,2834
2835,bacteriophagic,789,2835
2836,bacteriophagous,789,2836
2837,bad-tempered,790,2837
2838,grumpy,790,2838
2839,crabby,790,2839
2840,cross,790,2840
2841,crabbed,790,2841
2842,fussy,790,2842
2843,grouchy,790,2843
2844,ill-tempered,790,2844
2845,balking,791,2845
2846,balky,791,2846
2847,global,792,2847
2848,spheric,792,2848
2849,globular,792,2849
2850,globose,792,2850
2851,ball-shaped,792,2851
2852,spherical,792,2852
2853,orbicular,792,2853
2854,flaming,793,2854
2855,bally,793,2855
2856,blooming,793,2856
2857,blinking,793,2857
2858,crashing,793,2858
2859,bloody,793,2859
2860,fucking,793,2860
2861,sleep together,794,2861
2862,bed,794,2862
2863,have it off,794,2863
2864,jazz,794,2864
2865,make out,794,2865
2866,love,794,2866
2867,have sex,794,2867
2868,do it,794,2868
2869,slam,794,2869
2870,hump,794,2870
2871,get it on,794,2871
2872,banging,794,2872
2873,lie with,794,2873
2874,fuck,794,2874
2875,screw,794,2875
2876,sleep with,794,2876
2877,eff,794,2877
2878,roll in the hay,794,2878
2879,spang,794,2879
2880,be intimate,794,2880
2881,have it away,794,2881
2882,get laid,794,2882
2883,bang,794,2883
2884,have intercourse,794,2884
2885,know,794,2885
2886,bonk,794,2886
2887,make love,794,2887
2888,have a go at it,794,2888
2889,baptistic,795,2889
2890,Baptistic,795,2890
2891,baptize,796,2891
2892,baptized,796,2892
2893,baptise,796,2893
2894,christen,796,2894
2895,Barbadian,797,2895
2896,barbadian,797,2896
2897,savage,798,2897
2898,uncivilised,798,2898
2899,barbarian,798,2899
2900,wild,798,2900
2901,uncivilized,798,2901
2902,barbaric,798,2902
2903,cruel,799,2903
2904,savage,799,2904
2905,roughshod,799,2905
2906,fell,799,2906
2907,vicious,799,2907
2908,brutal,799,2908
2909,barbarous,799,2909
2910,whiskered,800,2910
2911,bewhiskered,800,2911
2912,bearded,800,2912
2913,whiskery,800,2913
2914,barbate,800,2914
2915,barbeque,801,2915
2916,barbecued,801,2916
2917,cook out,801,2917
2918,barbecue,801,2918
2919,stripped,802,2919
2920,bare,802,2920
2921,simple,802,2921
2922,barren,802,2922
2923,unembellished,802,2923
2924,nude,802,2924
2925,desolate,802,2925
2926,au naturel,802,2926
2927,spare,802,2927
2928,scanty,802,2928
2929,marginal,802,2929
2930,unornamented,802,2930
2931,stark,802,2931
2932,bleak,802,2932
2933,plain,802,2933
2934,naked,802,2934
2935,unfinished,802,2935
2936,mere,802,2936
2937,bare,803,2937
2938,unsheathed,803,2938
2939,bare-assed,804,2939
2940,peeled,804,2940
2941,raw,804,2941
2942,in the altogether,804,2942
2943,naked as a jaybird,804,2943
2944,in the raw,804,2944
2945,stark naked,804,2945
2946,bare-ass,804,2946
2947,in the buff,804,2947
2948,baroque,805,2948
2949,churrigueresco,805,2949
2950,churrigueresque,805,2950
2951,Baroque,806,2951
2952,baroque,806,2952
2953,relegate,807,2953
2954,block off,807,2954
2955,stop,807,2955
2956,block up,807,2956
2957,barred,807,2957
2958,banish,807,2958
2959,exclude,807,2959
2960,barricade,807,2960
2961,block,807,2961
2962,blockade,807,2962
2963,debar,807,2963
2964,bar,807,2964
2965,barred,808,2965
2966,blockaded,808,2966
2967,barricaded,808,2967
2968,barreled,809,2968
2969,barrel,809,2969
2970,barreled,810,2970
2971,barrelled,810,2971
2972,barrel,811,2972
2973,barrelled,811,2973
2974,meanspirited,812,2974
2975,mean,812,2975
2976,humble,812,2976
2977,baseborn,812,2977
2978,lowly,812,2978
2979,base,812,2979
2980,immoral,812,2980
2981,basal,812,2981
2982,lowly,813,2982
2983,baseborn,813,2983
2984,base,813,2984
2985,humble,813,2985
2986,found,814,2986
2987,ground,814,2987
2988,free-base,814,2988
2989,based,814,2989
2990,base,814,2990
2991,establish,814,2991
2992,unfounded,815,2992
2993,unwarranted,815,2993
2994,wild,815,2994
2995,groundless,815,2995
2996,baseless,815,2996
2997,idle,815,2997
2998,blate,816,2998
2999,bashful,816,2999
3000,canonical,817,3000
3001,introductory,817,3001
3002,canonic,817,3002
3003,basic,817,3003
3004,sentimental,818,3004
3005,mawkish,818,3005
3006,hokey,818,3006
3007,drippy,818,3007
3008,mushy,818,3008
3009,slushy,818,3009
3010,soppy,818,3010
3011,schmaltzy,818,3011
3012,schmalzy,818,3012
3013,bathetic,818,3013
3014,soupy,818,3014
3015,maudlin,818,3015
3016,kitschy,818,3016
3017,batholitic,819,3017
3018,batholithic,819,3018
3019,bathymetric,820,3019
3020,bathymetrical,820,3020
3021,thrash,821,3021
3022,lick,821,3022
3023,bat,821,3023
3024,bats,821,3024
3025,drub,821,3025
3026,flutter,821,3026
3027,cream,821,3027
3028,clobber,821,3028
3029,beak,822,3029
3030,beaked,822,3030
3031,pick,822,3031
3032,peck,822,3032
3033,send,823,3033
3034,shine,823,3034
3035,transmit,823,3035
3036,radiate,823,3036
3037,air,823,3037
3038,broadcast,823,3038
3039,beam,823,3039
3040,glow,823,3040
3041,beaming,823,3041
3042,glad,824,3042
3043,radiant,824,3043
3044,beamy,824,3044
3045,effulgent,824,3045
3046,beaming,824,3046
3047,refulgent,824,3047
3048,beamish,825,3048
3049,twinkly,825,3049
3050,smiling,825,3050
3051,radiant,826,3051
3052,beamy,826,3052
3053,effulgent,826,3053
3054,beaming,826,3054
3055,refulgent,826,3055
3056,beatified,827,3056
3057,blessed,827,3057
3058,becalmed,828,3058
3059,steady,828,3059
3060,becalm,828,3060
3061,calm,828,3061
3062,becoming,829,3062
3063,go,829,3063
3064,become,829,3064
3065,suit,829,3065
3066,get,829,3066
3067,turn,829,3067
3068,becoming,830,3068
3069,decent,830,3069
3070,seemly,830,3070
3071,decorous,830,3071
3072,comme il faut,830,3072
3073,comely,830,3073
3074,besmear,831,3074
3075,bedaub,831,3075
3076,bedaubed,831,3076
3077,beetle,832,3077
3078,overhang,832,3078
3079,beetle,833,3079
3080,beetling,833,3080
3081,beetle-browed,834,3081
3082,scowling,834,3082
3083,beetling,835,3083
3084,beetle,835,3084
3085,overhang,835,3085
3086,befitting,836,3086
3087,beseem,836,3087
3088,befit,836,3088
3089,suit,836,3089
3090,befog,837,3090
3091,befogged,837,3091
3092,obscure,837,3092
3093,mist,837,3093
3094,haze over,837,3094
3095,becloud,837,3095
3096,fog,837,3096
3097,cloud,837,3097
3098,obnubilate,837,3098
3099,befogged,838,3099
3100,befuddled,838,3100
3101,beforehand,839,3101
3102,advance,839,3102
3103,in advance,840,3103
3104,beforehand,840,3104
3105,ahead,840,3105
3106,addled,841,3106
3107,muzzy,841,3107
3108,wooly,841,3108
3109,at sea,841,3109
3110,woolly-headed,841,3110
3111,befogged,841,3111
3112,baffled,841,3112
3113,confused,841,3113
3114,mixed-up,841,3114
3115,wooly-minded,841,3115
3116,confounded,841,3116
3117,woolly,841,3117
3118,bewildered,841,3118
3119,bemused,841,3119
3120,lost,841,3120
3121,muddled,841,3121
3122,mazed,841,3122
3123,befuddled,841,3123
3124,beggarly,842,3124
3125,mean,842,3125
3126,lead off,843,3126
3127,start out,843,3127
3128,get down,843,3128
3129,set out,843,3129
3130,start,843,3130
3131,beginning,843,3131
3132,get,843,3132
3133,begin,843,3133
3134,commence,843,3134
3135,set about,843,3135
3136,under-the-table,844,3136
3137,behind-the-scenes,844,3137
3138,sub-rosa,844,3138
3139,behindhand,845,3139
3140,behind,845,3140
3141,in arrears,845,3141
3142,behold,846,3142
3143,beholden,846,3143
3144,lay eyes on,846,3144
3145,Belarusian,847,3145
3146,belarusian,847,3146
3147,belated,848,3147
3148,tardy,848,3148
3149,late,848,3149
3150,belgian,849,3150
3151,Belgian,849,3151
3152,credible,850,3152
3153,believable,850,3153
3154,pick at,851,3154
3155,belittled,851,3155
3156,disparage,851,3156
3157,minimize,851,3157
3158,belittle,851,3158
3159,denigrate,851,3159
3160,derogate,851,3160
3161,diminish,851,3161
3162,diminished,852,3162
3163,small,852,3163
3164,belittled,852,3164
3165,bellied,853,3165
3166,belly out,853,3166
3167,belly,853,3167
3168,bellied,854,3168
3169,bulgy,854,3169
3170,bulbous,854,3170
3171,bulging,854,3171
3172,protuberant,854,3172
3173,bellying,854,3173
3174,militant,855,3174
3175,aggressive,855,3175
3176,warring,855,3176
3177,war-ridden,855,3177
3178,belligerent,855,3178
3179,bellying,856,3179
3180,belly out,856,3180
3181,belly,856,3181
3182,bellyless,857,3182
3183,flat-bellied,857,3183
3184,dear,858,3184
3185,beloved,858,3185
3186,darling,858,3186
3187,unfairly,859,3187
3188,below the belt,859,3188
3189,belowground,860,3189
3190,underground,860,3190
3191,belt-like,861,3191
3192,beltlike,861,3192
3193,at sea,862,3193
3194,baffled,862,3194
3195,confused,862,3195
3196,preoccupied,862,3196
3197,mixed-up,862,3197
3198,deep in thought,862,3198
3199,confounded,862,3199
3200,bewildered,862,3200
3201,bemused,862,3201
3202,lost,862,3202
3203,mazed,862,3203
3204,befuddled,862,3204
3205,bendable,863,3205
3206,pliant,863,3206
3207,waxy,863,3207
3208,pliable,863,3208
3209,deflect,864,3209
3210,bended,864,3210
3211,bow,864,3211
3212,stoop,864,3212
3213,deform,864,3213
3214,twist,864,3214
3215,flex,864,3215
3216,crouch,864,3216
3217,turn,864,3217
3218,turn away,864,3218
3219,bend,864,3219
3220,bended,865,3220
3221,bent,865,3221
3222,deflect,866,3222
3223,bow,866,3223
3224,stoop,866,3224
3225,deform,866,3225
3226,twist,866,3226
3227,flex,866,3227
3228,crouch,866,3228
3229,bent,866,3229
3230,turn,866,3230
3231,turn away,866,3231
3232,bend,866,3232
3233,bended,867,3233
3234,out to,867,3234
3235,bent on,867,3235
3236,crumpled,867,3236
3237,dead set,867,3237
3238,dented,867,3238
3239,bent,867,3239
3240,bent on,868,3240
3241,dead set,868,3241
3242,bent,868,3242
3243,out to,868,3243
3244,benthonic,869,3244
3245,benthic,869,3245
3246,benthal,869,3246
3247,wet,870,3247
3248,stiff,870,3248
3249,pixilated,870,3249
3250,pissed,870,3250
3251,loaded,870,3251
3252,squiffy,870,3252
3253,cockeyed,870,3253
3254,blotto,870,3254
3255,blind drunk,870,3255
3256,pie-eyed,870,3256
3257,besotted,870,3257
3258,slopped,870,3258
3259,tight,870,3259
3260,smashed,870,3260
3261,sozzled,870,3261
3262,plastered,870,3262
3263,sloshed,870,3263
3264,soused,870,3264
3265,crocked,870,3265
3266,fuddled,870,3266
3267,soaked,870,3267
3268,bespectacled,871,3268
3269,monocled,871,3269
3270,spectacled,871,3270
3271,improve,872,3271
3272,amend,872,3272
3273,better,872,3273
3274,ameliorate,872,3274
3275,break,872,3275
3276,meliorate,872,3276
3277,well,873,3277
3278,better,873,3278
3279,good,873,3279
3280,good-looking,874,3280
3281,better-looking,874,3281
3282,handsome,874,3282
3283,well-favoured,874,3283
3284,fine-looking,874,3284
3285,well-favored,874,3285
3286,improve,875,3286
3287,bettering,875,3287
3288,amend,875,3288
3289,better,875,3289
3290,ameliorate,875,3290
3291,break,875,3291
3292,meliorate,875,3292
3293,biannual,876,3293
3294,biyearly,876,3294
3295,semiannual,876,3295
3296,half-yearly,876,3296
3297,predetermine,877,3297
3298,bias,877,3298
3299,biased,878,3299
3300,predetermine,878,3300
3301,bias,878,3301
3302,slanted,879,3302
3303,colored,879,3303
3304,one-sided,879,3304
3305,biased,879,3305
3306,coloured,879,3306
3307,biaural,880,3307
3308,binaural,880,3308
3309,scriptural,881,3309
3310,biblical,881,3310
3311,bibliographical,882,3311
3312,bibliographic,882,3312
3313,bibliothecal,883,3313
3314,bibliothecarial,883,3314
3315,sottish,884,3315
3316,boozy,884,3316
3317,drunken,884,3317
3318,bibulous,884,3318
3319,two-chambered,885,3319
3320,bicameral,885,3320
3321,dichromatic,886,3321
3322,bicolor,886,3322
3323,bicolour,886,3323
3324,bichrome,886,3324
3325,bicolored,886,3325
3326,bicoloured,886,3326
3327,concavo-concave,887,3327
3328,biconcave,887,3328
3329,lenticular,888,3329
3330,biconvex,888,3330
3331,convexo-convex,888,3331
3332,lentiform,888,3332
3333,bicornuous,889,3333
3334,bicorned,889,3334
3335,bicornuate,889,3335
3336,bicorn,889,3336
3337,bicornate,889,3337
3338,bicuspidate,890,3338
3339,bicuspid,890,3339
3340,Biedermeier,891,3340
3341,biedermeier,891,3341
3342,biennial,892,3342
3343,two-year,892,3343
3344,biennial,893,3344
3345,biyearly,893,3345
3346,biface,894,3346
3347,bifacial,894,3347
3348,placard,895,3348
3349,billed,895,3349
3350,bill,895,3350
3351,charge,895,3351
3352,billowing,896,3352
3353,wallow,896,3353
3354,inflate,896,3354
3355,billow,896,3355
3356,heave,896,3356
3357,surge,896,3357
3358,balloon,896,3358
3359,billowy,897,3359
3360,billowing,897,3360
3361,surging,897,3361
3362,bilobed,898,3362
3363,bilobate,898,3363
3364,bilobated,898,3364
3365,biloculate,899,3365
3366,bilocular,899,3366
3367,two-handed,900,3367
3368,bimanual,900,3368
3369,bimestrial,901,3369
3370,bimonthly,901,3370
3371,bimetal,902,3371
3372,bimetallic,902,3372
3373,bimetallic,903,3373
3374,bimetallistic,903,3374
3375,bimestrial,904,3375
3376,semimonthly,904,3376
3377,bimonthly,904,3377
3378,truss,905,3378
3379,bandage,905,3379
3380,stick to,905,3380
3381,attach,905,3381
3382,tie up,905,3382
3383,oblige,905,3383
3384,stick,905,3384
3385,hold,905,3385
3386,obligate,905,3386
3387,bond,905,3387
3388,tie,905,3388
3389,bind,905,3389
3390,tie down,905,3390
3391,adhere,905,3391
3392,constipate,905,3392
3393,hold fast,905,3393
3394,binding,905,3394
3395,binominal,906,3395
3396,binomial,906,3396
3397,binucleated,907,3397
3398,binucleate,907,3398
3399,binuclear,907,3399
3400,biogeographical,908,3400
3401,biogeographic,908,3401
3402,biographical,909,3402
3403,biographic,909,3403
3404,biologic,910,3404
3405,biological,910,3405
3406,bismarckian,911,3406
3407,Bismarckian,911,3407
3408,bistred,912,3408
3409,bistered,912,3409
3410,bisulcate,913,3410
3411,cloven,913,3411
3412,stepwise,914,3412
3413,bit-by-bit,914,3413
3414,in small stages,914,3414
3415,piecemeal,914,3415
3416,step-by-step,914,3416
3417,bitchy,915,3417
3418,cattish,915,3418
3419,catty,915,3419
3420,barbed,916,3420
3421,pungent,916,3421
3422,nipping,916,3422
3423,bitter,916,3423
3424,mordacious,916,3424
3425,biting,916,3425
3426,bitter,917,3426
3427,bitingly,917,3427
3428,bitterly,917,3428
3429,piercingly,917,3429
3430,sharp-tasting,918,3430
3431,bitterish,918,3431
3432,bittersweet,919,3432
3433,semisweet,919,3433
3434,teeny-weeny,920,3434
3435,itty-bitty,920,3435
3436,teeny,920,3436
3437,weeny,920,3437
3438,teensy,920,3438
3439,bitty,920,3439
3440,itsy-bitsy,920,3440
3441,teensy-weensy,920,3441
3442,bittie,920,3442
3443,teentsy,920,3443
3444,weensy,920,3444
3445,wee,920,3445
3446,bitumenoid,921,3446
3447,bituminoid,921,3447
3448,divalent,922,3448
3449,double,922,3449
3450,bivalent,922,3450
3451,bivalved,923,3451
3452,bivalve,923,3452
3453,biweekly,924,3453
3454,semiweekly,924,3454
3455,fortnightly,924,3455
3456,freaky,925,3456
3457,flakey,925,3457
3458,gonzo,925,3458
3459,outlandish,925,3459
3460,flaky,925,3460
3461,bizarre,925,3461
3462,eccentric,925,3462
3463,freakish,925,3463
3464,off-the-wall,925,3464
3465,outre,925,3465
3466,bigmouthed,926,3466
3467,blabby,926,3467
3468,blabbermouthed,926,3468
3469,talkative,926,3469
3470,leaky,926,3470
3471,talebearing,926,3471
3472,tattling,926,3472
3473,black,927,3473
3474,melanise,927,3474
3475,melanize,927,3475
3476,nigrify,927,3476
3477,blacken,927,3477
3478,censurable,928,3478
3479,blameful,928,3479
3480,culpable,928,3480
3481,blameworthy,928,3481
3482,blamable,928,3482
3483,blameable,928,3483
3484,find fault,929,3484
3485,blame,929,3485
3486,pick,929,3486
3487,fault,929,3487
3488,charge,929,3488
3489,blasted,930,3489
3490,infernal,930,3490
3491,goddam,930,3491
3492,deuced,930,3492
3493,goddamn,930,3493
3494,blame,930,3494
3495,blessed,930,3495
3496,goddamned,930,3496
3497,damned,930,3497
3498,damn,930,3498
3499,darned,930,3499
3500,blamed,930,3500
3501,find fault,931,3501
3502,blame,931,3502
3503,blamed,931,3503
3504,pick,931,3504
3505,fault,931,3505
3506,charge,931,3506
3507,worldly,932,3507
3508,blase,932,3508
3509,bored,932,3509
3510,blue,933,3510
3511,blasphemous,933,3511
3512,sacrilegious,933,3512
3513,profane,933,3513
3514,blasted,934,3514
3515,blast,934,3515
3516,savage,934,3516
3517,blare,934,3517
3518,shoot,934,3518
3519,smash,934,3519
3520,shell,934,3520
3521,nail,934,3521
3522,crucify,934,3522
3523,pillory,934,3523
3524,boom,934,3524
3525,knock down,934,3525
3526,blastemal,935,3526
3527,blastemic,935,3527
3528,blastematic,935,3528
3529,bare,936,3529
3530,black,936,3530
3531,barren,936,3531
3532,raw,936,3532
3533,desolate,936,3533
3534,dim,936,3534
3535,stark,936,3535
3536,cutting,936,3536
3537,bleak,936,3537
3538,blear,937,3538
3539,blur,937,3539
